SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC40840,96,14,115,201,158,9,367,1230,122,1716
SSC40841,3,0,3,3,5,0,9,30,8,43
SSC40842,7,0,7,338,101,22,471,617,58,1148
SSC40843,176,28,202,527,319,13,857,2227,241,3321
SSC40844,10,3,9,243,89,12,344,699,70,1110
SSC40845,19,0,19,191,76,0,266,627,70,966
SSC40846,0,0,0,60,29,0,87,171,14,269
SSC40847,8,4,10,47,20,0,70,180,27,281
SSC40848,109,23,133,375,138,22,541,1124,121,1794
SSC40849,0,0,0,5,0,0,8,10,5,17
SSC40850,0,0,0,3,0,0,3,3,3,9
SSC40851,34,6,46,123,87,6,216,630,84,932
SSC40852,0,0,0,0,0,0,0,13,0,14
SSC40853,0,0,0,3,0,0,3,21,5,30
SSC40854,0,0,0,14,7,3,22,43,7,75
SSC40855,0,0,0,3,3,0,3,7,0,6
SSC40856,0,0,0,0,0,0,7,6,0,9
SSC40857,0,0,0,6,0,0,3,22,4,33
SSC40858,0,0,0,10,5,0,19,22,0,40
SSC40859,0,0,0,17,0,0,20,41,11,66
SSC40860,0,0,0,0,0,0,0,3,5,17
SSC40861,0,0,0,3,0,0,3,0,0,3
SSC40862,17,3,20,191,104,10,304,608,60,964
SSC40863,0,0,0,0,4,0,4,8,8,13
SSC40864,3,0,3,70,24,6,99,142,22,267
SSC40865,13,3,13,99,67,12,182,492,80,752
SSC40866,74,4,74,579,225,28,838,2777,238,3851
SSC40867,0,0,0,0,0,0,0,18,6,17
SSC40868,0,0,0,9,7,0,20,28,0,49
SSC40869,0,0,0,18,12,0,26,62,9,96
SSC40870,115,81,201,681,317,38,1040,2763,436,4236
SSC40871,25,4,30,397,179,22,590,1053,86,1730
SSC40872,0,0,0,19,3,0,25,21,0,41
SSC40873,0,0,0,48,20,0,64,77,41,187
SSC40874,0,0,0,8,0,0,8,19,7,27
SSC40875,0,0,0,0,0,0,0,0,0,0
SSC40876,0,0,0,5,0,0,6,22,3,32
SSC40877,0,0,0,11,0,0,12,46,12,68
SSC40878,0,0,0,23,11,0,30,63,18,107
SSC40879,60,5,65,134,77,7,217,642,70,923
SSC40880,0,0,3,24,3,0,33,97,22,151
SSC40881,0,0,0,24,15,0,38,121,4,165
SSC40882,0,0,0,0,0,0,0,13,0,12
SSC40883,0,0,0,3,7,0,9,31,3,43
SSC40884,111,17,131,267,139,14,419,1036,92,1550
SSC40885,0,0,0,5,6,0,15,28,3,37
SSC40886,121,16,141,774,296,24,1096,3247,323,4663
SSC40887,0,0,0,7,3,0,10,9,3,19
SSC40888,29,3,33,449,217,20,687,1330,145,2160
SSC40889,0,0,0,0,0,0,0,3,0,3
SSC40890,0,0,0,37,12,0,48,113,15,177
SSC40891,123,25,152,822,344,24,1186,2974,268,4424
SSC40892,75,7,83,1125,556,55,1739,3512,237,5482
SSC40893,59,8,71,952,456,45,1452,2914,209,4571
SSC40894,0,0,0,5,0,3,6,3,0,10
SSC40895,0,0,0,37,20,0,50,97,14,164
SSC40896,3,0,3,31,13,0,38,78,15,132
SSC40897,10,3,12,168,81,8,264,615,55,936
SSC40898,0,0,0,24,10,0,39,49,7,96
SSC40899,0,0,0,0,0,0,0,3,0,3
SSC40900,3,0,3,54,25,0,80,141,23,241
SSC40901,0,0,0,7,3,0,10,15,0,24
SSC40902,0,0,0,14,12,0,32,69,11,109
SSC40903,0,0,0,3,0,0,3,3,0,9
SSC40904,0,0,0,4,3,0,8,12,0,17
SSC40905,0,0,0,0,0,0,0,0,0,0
SSC40906,18,10,28,54,32,4,94,395,56,538
SSC40907,40,8,57,282,121,12,418,1428,170,2016
SSC40908,4,0,7,24,10,0,36,129,16,181
SSC40909,13,4,18,132,71,0,205,339,509,1056
SSC40910,0,0,0,8,7,0,10,23,7,43
SSC40911,0,0,0,23,14,0,39,90,15,152
SSC40912,0,0,0,16,16,3,41,99,12,148
SSC40913,0,0,3,16,5,0,27,34,0,61
SSC40914,0,0,0,3,0,0,4,10,0,17
SSC40915,6,3,9,51,21,0,70,339,36,441
SSC40916,0,0,0,6,0,0,6,9,0,10
SSC40917,359,112,481,3582,1829,177,5589,12156,1340,19086
SSC40918,0,0,0,0,0,0,0,0,3,3
SSC40919,228,17,252,379,168,17,567,2027,179,2771
SSC40920,0,0,0,4,3,0,6,4,0,9
SSC40921,0,0,0,3,3,0,6,7,0,15
SSC40922,0,0,0,18,19,0,36,61,5,99
SSC40923,257,45,307,2391,998,134,3520,6757,717,10991
SSC40924,0,0,0,0,0,0,0,4,0,4
SSC40925,0,0,0,19,8,0,28,100,8,139
SSC40926,0,0,0,26,11,0,36,42,0,84
SSC40927,0,0,0,23,9,0,27,56,7,92
SSC40928,0,0,0,17,8,3,24,60,9,91
SSC40929,0,0,0,0,0,0,0,3,0,3
SSC40930,0,3,4,39,27,4,64,191,36,292
SSC40931,0,0,0,3,5,0,13,20,0,32
SSC40932,0,0,0,0,0,0,0,3,0,10
SSC40933,7,3,10,273,128,14,422,639,77,1141
SSC40934,0,0,0,3,0,0,3,4,0,9
SSC40935,0,0,0,19,20,0,31,68,12,110
SSC40936,0,0,0,13,0,0,13,16,0,26
SSC40937,0,0,0,6,0,0,6,0,0,3
SSC40938,0,0,0,0,7,0,5,25,4,39
SSC40939,0,0,0,40,3,0,44,86,59,185
SSC40940,589,93,692,4141,1768,206,6116,12827,1548,20495
SSC40941,4,0,4,37,26,0,69,139,14,225
SSC40942,0,0,0,10,5,0,17,18,0,31
SSC40943,3,0,3,27,8,0,38,80,14,127
SSC40944,0,0,0,0,0,0,0,0,0,0
SSC40945,0,0,0,33,3,3,43,75,3,121
SSC40946,0,0,0,8,4,0,10,28,4,46
SSC40947,0,0,0,0,4,0,4,18,3,25
SSC40948,0,0,0,9,9,0,21,20,5,52
SSC40949,0,0,0,7,0,0,6,42,3,57
SSC40950,0,0,0,3,0,0,3,8,0,12
SSC40951,6,0,6,55,25,4,88,227,14,324
SSC40952,21,11,31,155,66,15,234,549,61,850
SSC40953,0,0,3,54,14,3,74,97,18,184
SSC40954,0,0,0,8,0,0,8,12,3,25
SSC40955,0,0,0,5,0,0,10,17,5,29
SSC40956,6,0,6,105,68,5,181,351,44,573
SSC40957,0,0,0,0,0,0,3,4,0,12
SSC40958,0,0,0,0,0,0,0,14,3,21
SSC40959,0,0,0,14,0,0,12,20,4,35
SSC40960,0,0,0,5,3,0,14,13,35,66
SSC40961,0,0,0,9,4,0,15,22,0,37
SSC40962,0,0,0,42,24,4,71,116,17,201
SSC40963,0,0,0,0,0,0,0,0,0,0
SSC40964,0,0,0,0,0,0,4,20,3,30
SSC40965,0,0,0,0,0,0,0,0,0,5
SSC40966,0,0,3,18,4,0,25,81,6,111
SSC40967,7,0,7,63,45,9,109,233,25,365
SSC40968,0,0,0,11,3,0,22,34,4,59
SSC40969,0,0,0,13,0,0,13,19,15,53
SSC40970,11,3,16,664,210,40,910,1717,199,2829
SSC40971,0,0,3,34,18,0,51,108,21,188
SSC40972,12,0,7,1288,297,60,1647,2187,264,4098
SSC40973,0,0,0,12,9,0,14,59,0,75
SSC40974,0,0,0,19,7,0,22,23,3,50
SSC40975,0,0,0,5,0,0,5,9,0,11
SSC40976,0,0,0,0,4,0,4,31,0,36
SSC40977,0,0,3,4,6,3,18,21,4,43
SSC40978,0,0,0,3,0,0,3,14,0,22
SSC40979,371,63,434,1905,861,105,2879,7851,1298,12028
SSC40980,11,3,14,158,57,9,225,655,62,940
SSC40981,0,0,0,23,8,0,30,63,16,115
SSC40982,0,0,0,26,16,3,47,99,12,155
SSC40983,0,0,0,5,7,0,14,33,3,50
SSC40984,0,0,3,36,10,0,49,82,9,138
SSC40985,0,0,0,0,0,0,3,19,4,20
SSC40986,13,0,16,206,91,13,317,509,66,896
SSC40987,3,3,5,65,43,5,112,239,31,388
SSC40988,6,0,6,144,51,3,203,351,36,591
SSC40989,0,0,0,0,9,0,9,26,4,33
SSC40990,358,70,428,384,179,22,585,1727,177,2490
SSC40991,0,0,0,0,0,0,0,3,0,6
SSC40992,0,0,0,0,0,0,0,3,0,3
SSC40993,0,0,0,0,0,0,0,0,0,0
SSC40994,41,0,46,404,100,17,514,1157,61,1733
SSC40995,0,0,0,5,3,0,10,16,0,21
SSC40996,20,3,26,1056,332,52,1439,2261,222,3920
SSC40997,0,0,0,3,0,0,3,15,0,17
SSC40998,3,0,3,22,18,0,37,107,26,174
SSC40999,0,0,3,83,28,0,109,249,36,396
SSC41000,0,0,0,20,3,0,21,25,0,47
SSC41001,3,0,3,112,42,4,160,319,40,518
SSC41002,138,61,197,866,322,62,1255,3216,383,4854
SSC41003,0,0,0,9,7,0,21,34,8,68
SSC41004,0,0,0,31,15,0,40,91,13,153
SSC41005,0,0,0,3,0,0,4,17,0,23
SSC41006,0,0,0,13,6,0,17,36,4,57
SSC41007,0,0,0,4,0,0,4,9,4,17
SSC41008,0,0,0,26,9,0,37,104,11,149
SSC41009,0,0,0,12,5,0,25,48,0,74
SSC41010,0,0,0,14,0,0,14,28,16,59
SSC41011,0,0,0,22,10,0,28,66,15,113
SSC41012,30,3,34,259,125,4,386,715,49,1155
SSC41013,0,0,0,3,3,0,11,22,0,35
SSC41014,94,9,98,256,113,3,370,1083,78,1527
SSC41015,0,0,0,93,33,5,128,426,48,599
SSC41016,0,0,0,7,5,0,16,45,3,62
SSC41017,9,3,17,199,88,7,292,590,94,970
SSC41018,0,0,0,4,0,0,6,7,3,15
SSC41019,0,0,0,6,6,0,13,19,6,39
SSC41020,79,8,88,748,322,12,1079,2756,183,4016
SSC41021,0,0,0,7,0,0,8,29,0,40
SSC41022,0,0,0,0,0,0,0,0,0,0
SSC41023,4,0,4,16,13,3,29,134,5,169
SSC41024,0,0,0,13,0,0,13,22,4,39
SSC41025,3,0,3,26,12,0,35,130,19,187
SSC41026,37,3,37,605,234,42,875,1988,221,3086
SSC41027,0,0,0,4,7,0,9,28,3,36
SSC41028,25,8,39,171,128,6,314,997,111,1416
SSC41029,218,26,247,538,419,28,988,4824,663,6476
SSC41030,7,0,7,57,28,6,94,327,26,444
SSC41031,0,0,0,7,0,0,6,8,6,23
SSC41032,63,20,88,352,183,17,552,1223,133,1905
SSC41033,0,0,0,0,0,0,0,0,3,6
SSC41034,96,24,121,728,514,21,1265,3321,270,4861
SSC41035,76,4,74,39,27,4,64,383,48,497
SSC41036,177,184,359,413,145,10,562,1833,411,2806
SSC41037,3,3,6,65,30,0,91,191,28,310
SSC41038,0,0,0,0,0,0,0,12,0,13
SSC41039,0,0,0,0,0,0,0,7,4,14
SSC41040,13,0,13,39,16,0,55,160,26,238
SSC41041,68,20,82,695,171,3,876,1924,1099,3894
SSC41042,86,3,95,1286,305,34,1622,3109,221,4957
SSC41043,4,0,4,105,35,3,141,249,25,418
SSC41044,98,32,131,760,378,22,1156,3619,461,5241
SSC41045,0,0,0,0,0,0,0,4,0,4
SSC41046,53,8,65,305,215,22,539,1504,97,2143
SSC41047,0,0,0,8,0,0,7,30,12,50
SSC41048,0,0,0,3,0,0,3,16,0,22
SSC41049,188,33,222,940,451,51,1444,3425,319,5184
SSC41050,0,0,0,8,5,0,10,14,0,28
SSC41051,0,0,0,5,0,0,11,17,4,29
SSC41052,13,5,20,479,239,25,744,1315,107,2170
SSC41053,21,0,18,281,157,12,450,1007,126,1580
SSC41054,12,0,7,107,77,8,195,469,48,711
SSC41055,77,10,88,585,224,16,828,2003,247,3084
SSC41056,0,0,0,3,0,0,3,0,0,3
SSC41057,272,30,300,464,202,17,685,2479,221,3382
SSC41058,4,3,7,67,53,4,125,206,11,335
SSC41059,0,0,0,0,0,0,0,4,0,4
SSC41060,0,0,0,0,0,0,3,3,3,11
SSC41061,17,3,18,254,98,10,370,713,68,1147
SSC41062,86,42,135,602,232,22,853,1772,169,2796
SSC41063,0,0,0,0,0,0,0,0,0,3
SSC41064,0,0,0,0,0,0,0,0,3,6
SSC41065,16,0,17,175,102,3,280,565,64,906
SSC41066,9,3,13,413,249,12,677,1330,92,2092
SSC41067,0,0,0,0,0,0,0,4,0,3
SSC41068,0,0,3,23,13,0,37,87,46,160
SSC41069,33,7,38,86,30,0,117,334,56,507
SSC41070,32,3,35,276,125,12,414,1074,152,1639
SSC41071,44,8,52,369,108,17,497,1407,165,2065
SSC41072,0,0,0,0,3,0,3,9,0,12
SSC41073,0,0,0,11,3,0,9,22,5,42
SSC41074,12,0,12,100,23,3,132,400,48,582
SSC41075,3,0,6,76,49,3,128,240,42,413
SSC41076,3,0,3,58,26,0,76,147,29,250
SSC41077,0,0,0,35,18,0,60,93,20,174
SSC41078,0,0,0,29,16,0,39,86,11,141
SSC41079,0,0,0,5,4,0,17,42,9,64
SSC41080,0,0,0,3,0,0,3,0,0,3
SSC41081,0,0,0,18,5,0,19,31,8,58
SSC41082,3,0,3,26,18,3,51,91,12,157
SSC41083,0,0,0,3,0,0,3,3,0,10
SSC41084,68,7,79,357,197,14,564,1231,130,1929
SSC41085,86,18,104,1087,389,40,1514,3391,342,5248
SSC41086,63,5,64,485,188,23,694,1755,147,2598
SSC41087,37,6,47,444,207,15,664,1609,128,2400
SSC41088,0,0,0,0,0,0,0,20,0,16
SSC41089,3,0,3,68,40,6,121,212,11,344
SSC41090,255,16,275,973,485,26,1483,3975,291,5747
SSC41091,0,0,0,0,0,0,0,105,0,105
SSC41092,180,21,208,2917,1027,82,4032,8675,752,13462
SSC41093,53,9,65,2968,1001,96,4064,8069,691,12821
SSC41094,0,0,0,0,0,0,0,3,0,5
SSC41095,0,0,0,0,0,0,0,0,0,0
SSC41096,0,0,0,7,10,0,21,49,4,67
SSC41097,4,0,4,29,17,0,45,110,27,174
SSC41098,3,0,3,39,3,0,44,104,13,167
SSC41099,12,3,15,139,59,10,211,606,103,917
SSC41100,0,0,0,27,20,0,51,96,10,157
SSC41101,95,16,112,359,171,12,541,1756,190,2481
SSC41102,136,15,159,749,273,33,1059,2703,271,4030
SSC41103,0,0,0,0,0,0,0,3,0,3
SSC41104,5,3,9,25,12,3,41,62,21,122
SSC41105,0,0,0,11,6,0,17,56,13,89
SSC41106,0,0,0,9,0,0,15,23,6,38
SSC41107,187,20,216,378,217,15,615,1798,178,2592
SSC41108,0,0,3,21,6,0,31,94,20,147
SSC41109,0,0,0,7,5,0,12,40,5,54
SSC41110,85,13,101,323,153,7,479,1410,104,2000
SSC41111,62,3,66,252,93,6,353,988,60,1409
SSC41112,0,0,0,24,5,0,31,61,6,90
SSC41113,0,0,0,6,8,0,16,18,9,45
SSC41114,0,0,0,0,4,0,4,24,0,30
SSC41115,0,0,0,3,0,0,5,11,0,15
SSC41116,3,0,3,9,8,0,10,42,5,63
SSC41117,0,0,0,5,9,0,13,43,3,57
SSC41118,0,0,0,10,14,0,16,53,0,76
SSC41119,0,0,0,0,0,0,0,0,0,3
SSC41120,19,0,19,117,46,3,168,487,34,681
SSC41121,4,0,4,44,27,3,75,185,14,275
SSC41122,4,0,4,34,21,3,63,137,30,230
SSC41123,163,15,175,488,177,14,674,2136,234,3045
SSC41124,60,3,63,257,87,14,356,850,93,1306
SSC41125,0,0,0,40,18,3,62,145,33,233
SSC41126,0,0,3,82,32,5,125,216,18,355
SSC41127,0,0,0,25,12,0,38,60,20,113
SSC41128,0,0,0,10,0,0,11,26,0,42
SSC41129,0,0,0,7,0,0,9,34,0,45
SSC41130,35,16,53,143,74,6,219,917,149,1286
SSC41131,21,0,25,166,71,3,240,619,45,907
SSC41132,0,0,0,10,5,0,19,31,5,58
SSC41133,0,0,0,7,3,0,8,12,0,29
SSC41134,0,0,0,4,0,0,8,21,3,26
SSC41135,0,0,0,15,9,0,25,26,5,54
SSC41136,0,0,0,7,11,0,17,55,3,78
SSC41137,3,0,8,63,25,0,94,183,20,296
SSC41138,0,0,0,3,0,0,3,12,0,16
SSC41139,0,0,0,11,5,0,19,28,4,42
SSC41140,0,0,0,3,0,0,3,29,0,36
SSC41141,0,0,0,0,0,0,0,12,0,14
SSC41142,0,0,0,0,0,0,0,0,0,0
SSC41143,0,0,0,3,4,0,7,41,8,57
SSC41144,0,3,3,11,3,0,14,60,5,76
SSC41145,0,0,5,18,14,6,33,41,6,83
SSC41146,0,0,0,14,0,3,19,14,0,34
SSC41147,0,0,0,15,5,0,19,35,0,55
SSC41148,0,0,3,4,3,0,11,54,4,66
SSC41149,26,3,29,100,35,3,143,383,69,591
SSC41150,0,0,0,27,36,22,81,30,31,145
SSC41151,0,0,0,5,9,0,11,25,0,36
SSC41152,0,0,0,5,7,0,13,19,0,29
SSC41153,83,12,96,737,236,13,984,2833,242,4056
SSC41154,92,11,103,508,161,18,686,1891,158,2729
SSC41155,0,0,0,7,3,0,11,8,0,19
SSC41156,0,0,0,5,3,0,5,11,8,20
SSC41157,0,0,0,16,11,0,26,55,12,88
SSC41158,0,0,0,5,8,0,11,41,7,65
SSC41159,0,0,0,5,0,0,4,22,0,25
SSC41160,0,0,0,11,10,0,19,27,4,52
SSC41161,9,7,11,34,26,3,56,223,22,296
SSC41162,0,0,0,3,0,0,3,0,0,3
SSC41163,0,0,0,6,0,0,7,23,0,31
SSC41164,0,0,0,12,0,0,12,15,7,31
SSC41165,0,0,0,13,0,3,15,31,0,50
SSC41166,0,0,0,6,4,0,12,36,14,63
SSC41167,0,0,0,8,0,0,8,29,3,44
SSC41168,0,0,0,5,0,0,12,41,4,53
SSC41169,0,0,0,0,0,0,0,7,0,7
SSC41170,0,0,0,26,10,0,35,68,40,145
SSC41171,91,32,124,1046,465,33,1542,4020,410,5975
SSC41172,0,0,0,3,7,0,9,0,0,8
SSC41173,8,8,16,130,66,4,203,759,111,1078
SSC41174,0,0,0,0,0,0,0,3,0,3
SSC41175,138,26,162,806,440,56,1302,3370,655,5334
SSC41176,47,6,54,597,282,18,896,1977,335,3205
SSC41177,0,0,0,0,0,0,0,9,0,14
SSC41178,62,23,81,105,77,11,191,763,125,1081
SSC41179,0,0,0,0,3,0,4,0,0,7
SSC41180,124,9,130,204,150,16,365,1334,144,1842
SSC41181,0,0,0,9,4,0,18,51,0,67
SSC41182,3,3,5,23,21,0,47,257,39,346
SSC41183,0,0,0,0,0,0,0,10,4,16
SSC41184,8,0,8,59,32,0,92,358,38,488
SSC41185,0,0,0,5,3,0,8,35,0,45
SSC41186,0,0,0,3,0,0,3,50,3,56
SSC41187,341,42,390,2167,988,137,3293,7079,1025,11389
SSC41188,7,9,23,108,73,5,182,438,98,718
SSC41189,6,3,4,32,17,0,48,131,16,199
SSC41190,0,0,0,3,0,0,9,49,3,59
SSC41191,4,0,4,17,18,0,32,137,13,178
SSC41192,44,71,123,406,228,20,648,1490,303,2443
SSC41193,24,3,34,441,236,19,688,1408,161,2253
SSC41194,0,0,0,16,4,0,18,31,10,56
SSC41195,50,4,58,7,7,0,15,153,21,185
SSC41196,75,8,84,563,219,25,803,2132,257,3188
SSC41197,51,11,66,330,167,16,515,1442,222,2179
SSC41198,0,0,0,6,9,0,16,26,8,45
SSC41199,9,3,14,30,15,3,51,233,34,317
SSC41200,22,4,25,42,26,3,69,376,29,476
SSC41201,6,4,10,89,41,6,138,347,29,520
SSC41202,16,5,19,262,119,16,394,844,128,1362
SSC41203,0,0,0,7,0,0,7,0,0,7
SSC41204,3,0,0,13,7,0,21,125,16,170
SSC41205,0,0,0,0,0,0,0,0,0,5
SSC41206,270,35,310,2244,700,93,3041,7341,648,11023
SSC41207,3,0,3,22,21,0,45,67,20,135
SSC41208,0,3,4,96,70,0,165,162,34,365
SSC41209,0,0,0,0,0,0,0,8,0,7
SSC41210,0,0,0,12,3,0,12,27,0,39
SSC41211,0,0,0,3,0,0,6,20,5,28
SSC41212,0,0,0,0,0,0,0,0,0,0
SSC41213,0,0,0,5,3,0,9,26,3,35
SSC41214,3,0,7,23,5,0,35,80,6,120
SSC41215,0,0,0,7,3,0,8,16,0,26
SSC41216,3,0,3,11,11,3,25,27,3,54
SSC41217,0,0,0,3,3,0,5,46,3,55
SSC41218,49,3,63,247,125,3,379,1099,147,1623
SSC41219,0,0,0,3,0,0,3,10,3,15
SSC41220,20,8,34,161,61,3,219,725,98,1051
SSC41221,0,0,0,7,3,0,7,25,0,31
SSC41222,0,0,0,18,9,0,22,113,13,145
SSC41223,0,0,0,21,8,0,25,69,8,108
SSC41224,0,0,0,15,5,0,17,43,10,64
SSC41225,0,0,0,0,0,0,3,13,4,18
SSC41226,0,0,0,12,5,0,23,77,9,105
SSC41227,0,0,0,29,15,0,42,104,8,156
SSC41228,3,0,3,29,13,0,42,77,8,120
SSC41229,35,11,48,968,477,41,1487,2736,196,4416
SSC41230,0,0,0,16,3,0,24,42,0,72
SSC41231,3,0,3,20,13,0,32,75,9,116
SSC41232,24,0,24,0,0,0,0,122,8,134
SSC41233,0,0,0,91,15,3,106,183,13,310
SSC41234,3,0,3,42,10,0,56,97,6,154
SSC41235,176,31,213,594,248,31,875,2591,406,3870
SSC41236,7,0,9,101,35,7,145,328,45,516
SSC41237,3,0,3,49,35,0,84,188,24,295
SSC41238,14,0,10,200,87,8,296,671,99,1068
SSC41239,26,3,34,203,59,3,264,1057,135,1459
SSC41240,59,13,74,849,365,40,1256,2464,186,3902
SSC41241,48,9,64,311,173,15,500,1098,79,1674
SSC41242,3,0,3,20,9,4,23,89,4,118
SSC41243,77,15,92,499,173,17,691,1934,193,2811
SSC41244,161,22,186,599,301,36,931,2250,176,3361
SSC41245,9,3,14,148,49,4,202,714,55,970
SSC41246,138,15,154,520,214,21,749,2183,241,3181
SSC41247,27,11,39,337,154,20,515,1139,125,1776
SSC41248,13,3,16,111,78,6,196,434,46,670
SSC41249,0,0,0,3,4,3,4,10,0,19
SSC41250,50,6,59,110,76,3,190,631,71,885
SSC41251,26,6,40,129,62,4,197,653,102,949
SSC41252,0,4,3,21,19,0,46,155,17,216
SSC41253,0,0,0,0,0,0,0,7,3,8
SSC41254,3,0,6,35,13,3,56,140,26,217
SSC41255,0,0,0,27,13,0,39,75,3,117
SSC41256,0,0,0,10,7,0,14,76,9,105
SSC41257,0,0,0,3,0,0,4,6,0,12
SSC41258,0,0,0,0,0,0,0,0,0,0
SSC41259,0,6,6,0,6,0,6,17,5,30
